product_id,warehouse_id,quantity,expiration_date,status,,
10001,1009,124,,Adjusted,"{10001,1009,124,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10001,1017,378,,Transferred,"{10001,1017,378,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10001,1013,175,,Transferred,"{10001,1013,175,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10002,1014,223,,Sold,"{10002,1014,223,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10002,1017,277,,Sold,"{10002,1017,277,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10002,1016,442,,Sold,"{10002,1016,442,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10003,1009,259,,Expired,"{10003,1009,259,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10003,1019,428,,Adjusted,"{10003,1019,428,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10003,1008,383,,Sold,"{10003,1008,383,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10003,1011,409,,Sold,"{10003,1011,409,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10003,1015,178,,Received,"{10003,1015,178,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10004,1006,487,12/25/2025,Expired,"{10004,1006,487,LocalDate.of(2025,12,25),""Expired""},","LocalDate.of(2025,12,25)"
10004,1001,230,10/20/2025,Sold,"{10004,1001,230,LocalDate.of(2025,10,20),""Sold""},","LocalDate.of(2025,10,20)"
10004,1016,473,12/25/2025,Transferred,"{10004,1016,473,LocalDate.of(2025,12,25),""Transferred""},","LocalDate.of(2025,12,25)"
10004,1019,348,5/24/2025,Adjusted,"{10004,1019,348,LocalDate.of(2025,5,24),""Adjusted""},","LocalDate.of(2025,5,24)"
10004,1014,408,5/9/2025,Sold,"{10004,1014,408,LocalDate.of(2025,5,9),""Sold""},","LocalDate.of(2025,5,9)"
10005,1015,246,8/14/2025,Expired,"{10005,1015,246,LocalDate.of(2025,8,14),""Expired""},","LocalDate.of(2025,8,14)"
10005,1016,342,10/4/2025,Adjusted,"{10005,1016,342,LocalDate.of(2025,10,4),""Adjusted""},","LocalDate.of(2025,10,4)"
10005,1014,293,11/29/2025,Expired,"{10005,1014,293,LocalDate.of(2025,11,29),""Expired""},","LocalDate.of(2025,11,29)"
10005,1009,311,5/9/2025,Transferred,"{10005,1009,311,LocalDate.of(2025,5,9),""Transferred""},","LocalDate.of(2025,5,9)"
10005,1013,263,6/22/2025,Adjusted,"{10005,1013,263,LocalDate.of(2025,6,22),""Adjusted""},","LocalDate.of(2025,6,22)"
