warehouse_id,warehouse_name,contact_name,phone,location,is_active,
1001,Metro Warehouse,Erin Matthews,(479)561-2954,Stephanieberg,TRUE,"{1001,""Metro Warehouse"",""Erin Matthews"",""(479)561-2954"",""Stephanieberg"",true},"
1002,Supermart Storage,Courtney Williams,(232)528-7740,Beckborough,TRUE,"{1002,""Supermart Storage"",""Courtney Williams"",""(232)528-7740"",""Beckborough"",true},"
1003,FreshMart Depot,Brenda Gutierrez,6279448308,West Christinemouth,TRUE,"{1003,""FreshMart Depot"",""Brenda Gutierrez"",""6279448308"",""West Christinemouth"",true},"
1004,Wholesale Hub,Michael Woods,-9816,Lake Hectortown,TRUE,"{1004,""Wholesale Hub"",""Michael Woods"",""-9816"",""Lake Hectortown"",true},"
1005,City Super Warehouse,Shelby Martinez,-6524,New Katherine,TRUE,"{1005,""City Super Warehouse"",""Shelby Martinez"",""-6524"",""New Katherine"",true},"
1006,Farm to Table Storage,Anthony Weaver,+1-320-668-1903x74941,West Richard,TRUE,"{1006,""Farm to Table Storage"",""Anthony Weaver"",""+1-320-668-1903x74941"",""West Richard"",true},"
1007,Mega Bulk Storage,Douglas Brewer,9163313863,Lake Cassandrashire,TRUE,"{1007,""Mega Bulk Storage"",""Douglas Brewer"",""9163313863"",""Lake Cassandrashire"",true},"
1008,Retailer Supply Hub,Brandon Davis,5658037991,Port Brianborough,TRUE,"{1008,""Retailer Supply Hub"",""Brandon Davis"",""5658037991"",""Port Brianborough"",true},"
1009,Prime Goods Distribution,Timothy Gray PhD,065.688.7063x370,Lake Anthonymouth,TRUE,"{1009,""Prime Goods Distribution"",""Timothy Gray PhD"",""065.688.7063x370"",""Lake Anthonymouth"",true},"
1010,FastTrack Logistics,Kimberly Mitchell,001-226-380-9099x182,Lake Charles,TRUE,"{1010,""FastTrack Logistics"",""Kimberly Mitchell"",""001-226-380-9099x182"",""Lake Charles"",true},"
1011,Urban Stockpile,Christopher Hale,001-031-675-8157x94100,Lake Jenny,TRUE,"{1011,""Urban Stockpile"",""Christopher Hale"",""001-031-675-8157x94100"",""Lake Jenny"",true},"
1012,Grocery Essentials Depot,Sandra Klein,001-694-873-1494x376,New Michellefurt,TRUE,"{1012,""Grocery Essentials Depot"",""Sandra Klein"",""001-694-873-1494x376"",""New Michellefurt"",true},"
1013,Reliable Goods Center,Laura Perry,(905)292-5203,Shawville,TRUE,"{1013,""Reliable Goods Center"",""Laura Perry"",""(905)292-5203"",""Shawville"",true},"
1014,Green Earth Logistics,Timothy Jackson,784.281.0904,Ruizmouth,TRUE,"{1014,""Green Earth Logistics"",""Timothy Jackson"",""784.281.0904"",""Ruizmouth"",true},"
1015,Global Food Storage,Angela Lee,(548)747-1858,Wolfshire,TRUE,"{1015,""Global Food Storage"",""Angela Lee"",""(548)747-1858"",""Wolfshire"",true},"
1016,FoodPack Solutions,Andrea Doyle,-1256,South Kyle,TRUE,"{1016,""FoodPack Solutions"",""Andrea Doyle"",""-1256"",""South Kyle"",true},"
1017,Oceanwide Suppliers,Vanessa Riley,+1-379-228-7677x9916,Port Anthony,TRUE,"{1017,""Oceanwide Suppliers"",""Vanessa Riley"",""+1-379-228-7677x9916"",""Port Anthony"",true},"
1018,Healthy Living Storage,Amber Porter,431.129.3642x2695,Lake Amy,TRUE,"{1018,""Healthy Living Storage"",""Amber Porter"",""431.129.3642x2695"",""Lake Amy"",true},"
1019,Convenience Stock Depot,Katrina Owens,(736)426-2019x57801,West Karen,TRUE,"{1019,""Convenience Stock Depot"",""Katrina Owens"",""(736)426-2019x57801"",""West Karen"",true},"
1020,TopMart Logistics,Rodney Taylor,001-600-612-3307x41982,South Laurashire,TRUE,"{1020,""TopMart Logistics"",""Rodney Taylor"",""001-600-612-3307x41982"",""South Laurashire"",true},"
